antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,lenght
"frozenset({'seguro auto', 'seguro vida PF', 'seguro vida Emp'})",frozenset({'Seguro Residencial'}),0.19745083758193735,0.33248361252731246,0.19708667152221412,0.9981556621172999,3.002119877518188,0.13143750374642796,361.9273852876915,3
"frozenset({'Investimento Fundos_cambiais', 'Investimento LCI', 'Investimento Poupanca', 'Investimento LCA'})",frozenset({'Investimento Fundos_commodities'}),0.1224326292789512,0.3455207574654042,0.12141296431172614,0.9916716240333135,2.8700782879378997,0.0791099495047819,78.58425762147581,4
"frozenset({'seguro auto', 'Seguro Residencial', 'seguro vida Emp'})",frozenset({'seguro vida PF'}),0.19898033503277496,0.2501820830298616,0.19708667152221412,0.9904831625183015,3.959049147416675,0.14730535682173473,78.78855958316889,3
"frozenset({'seguro vida PF', 'Seguro Residencial', 'seguro vida Emp'})",frozenset({'seguro auto'}),0.19963583394027676,0.2789512017479971,0.19708667152221412,0.9872309376140095,3.539081141890431,0.14139801573261035,56.468421600249705,3
"frozenset({'Investimento Fundos_cambiais', 'Investimento Poupanca', 'Investimento Fundos_commodities', 'Investimento LCA'})",frozenset({'Investimento LCI'}),0.12301529497450837,0.33648943918426805,0.12141296431172614,0.9869745411486086,2.9331516125477046,0.0800196166946665,50.93951532808037,4
"frozenset({'Emprestimo _limite_especial', 'Emprestimo _consignado'})",frozenset({'Emprestimo _pessoal'}),0.12126729788783686,0.21194464675892208,0.11951930080116534,0.9855855855855856,4.650202780099687,0.09381734618691878,54.67134013109992,2
"frozenset({'seguro auto', 'seguro vida PF', 'Seguro Residencial'})",frozenset({'seguro vida Emp'}),0.20021849963583394,0.3425345957756737,0.19708667152221412,0.9843579483448527,2.873747529401409,0.12850490868264186,42.031916190992426,3
"frozenset({'seguro auto', 'seguro vida PF'})",frozenset({'Seguro Residencial'}),0.20364166059723235,0.33248361252731246,0.20021849963583394,0.9831902718168812,2.957108966494147,0.13251098465940525,39.710123816460246,2
"frozenset({'Emprestimo _viagem', 'Emprestimo _educacao', 'Investimento CDB'})",frozenset({'Investimento Fundos'}),0.1179169701383831,0.3410050983248361,0.11522214129643117,0.9771463866584311,2.8654890834729305,0.07501185330022508,28.835479616542973,3
"frozenset({'Investimento LCI', 'Investimento Poupanca', 'Investimento Fundos_commodities', 'Investimento LCA'})",frozenset({'Investimento Fundos_cambiais'}),0.12454479242534595,0.3454479242534596,0.12141296431172614,0.9748538011695906,2.8219993021417835,0.07838922429181239,26.0298616168973,4
"frozenset({'Emprestimo _viagem', 'Investimento Fundos', 'Emprestimo _educacao'})",frozenset({'Investimento CDB'}),0.11828113619810633,0.4946831755280408,0.11522214129643117,0.9741379310344828,1.9692158117054546,0.05671045323688723,19.53891721291576,3
"frozenset({'Emprestimo _pessoal', 'Emprestimo _consignado'})",frozenset({'Emprestimo _limite_especial'}),0.12286962855061909,0.16132556445739257,0.11951930080116534,0.972732661529342,6.029625030608517,0.09969728862056655,30.757473320877782,2
"frozenset({'Investimento Fundos_cambiais', 'Investimento LCI', 'Investimento Fundos', 'Investimento CDB'})",frozenset({'Investimento Fundos_commodities'}),0.10509832483612527,0.3455207574654042,0.10203932993445011,0.9708939708939709,2.8099439756269438,0.06572567712872701,22.486036832795754,4
"frozenset({'seguro vida PF', 'seguro vida Emp'})",frozenset({'Seguro Residencial'}),0.20582665695557173,0.33248361252731246,0.19963583394027676,0.9699221514508138,2.917202878295657,0.1312018434812684,22.19295659997427,2
"frozenset({'seguro auto', 'seguro vida PF'})",frozenset({'seguro vida Emp'}),0.20364166059723235,0.3425345957756737,0.19745083758193735,0.969599427753934,2.8306613104532246,0.12769652368617743,21.626744355425966,2
"frozenset({'seguro auto', 'seguro vida PF'})","frozenset({'Seguro Residencial', 'seguro vida Emp'})",0.20364166059723235,0.22432629278951202,0.19708667152221412,0.9678111587982832,4.314301042305334,0.15140449274293694,24.097596504005757,2
"frozenset({'Investimento Fundos_cambiais', 'Investimento LCI', 'Investimento LCA'})",frozenset({'Investimento Fundos_commodities'}),0.13321194464675892,0.3455207574654042,0.12825928623452293,0.9628212137780207,2.7865799462841956,0.0822317942167353,17.60356668523194,3
"frozenset({'Investimento Fundos_cambiais', 'Investimento Fundos', 'Investimento Fundos_commodities', 'Investimento CDB'})",frozenset({'Investimento LCI'}),0.10619082301529498,0.33648943918426805,0.10203932993445011,0.9609053497942387,2.8556775871590685,0.06630723945151765,16.971901713497147,4
"frozenset({'Investimento Fundos_cambiais', 'Investimento Fundos_commodities', 'Investimento LCA'})",frozenset({'Investimento LCI'}),0.13357611070648215,0.33648943918426805,0.12825928623452293,0.9601962922573609,2.8535703663838885,0.08331233565448304,16.66956669227467,3
"frozenset({'seguro vida PF', 'seguro vida Emp'})",frozenset({'seguro auto'}),0.20582665695557173,0.2789512017479971,0.19745083758193735,0.9593064401981599,3.438975828699931,0.14003524427240788,17.718990468349205,2
"frozenset({'Investimento Fundos', 'Emprestimo _educacao', 'Investimento CDB'})",frozenset({'Emprestimo _viagem'}),0.12017479970866715,0.24879825200291333,0.11522214129643117,0.9587878787878787,3.8536761053154494,0.08532286119411456,18.227689473458703,3
"frozenset({'seguro vida PF', 'seguro vida Emp'})","frozenset({'seguro auto', 'Seguro Residencial'})",0.20582665695557173,0.21070648215586307,0.19708667152221412,0.9575371549893843,4.544412422400362,0.153717660701204,18.58786234522943,2
